T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.8812,69.98942,61.82241,61.865307,61.81754,61.81754,61.81362,69.968956,69.98398,61.81609,61.944805,61.9268,61.92463,61.79495
73.80612,69.92406,63.540924,62.53684,62.98956,62.98956,63.42817,72.58165,70.0007,61.83861,60.453434,61.83196,61.734844,62.386917
69.7394,69.80785,60.847927,60.808,60.810986,60.810986,60.836918,69.77084,69.77177,60.910397,61.03277,61.085148,61.085823,61.079437
69.89255,70.003944,62.349155,62.436825,62.36908,62.36908,62.345158,70.00101,69.998215,62.353527,62.467426,62.440792,62.449883,62.284634
69.87553,69.982155,60.525295,60.457943,60.535217,60.535217,60.52464,69.86552,69.98144,60.49154,60.680443,60.73693,60.704712,60.661263
69.87553,69.982155,61.163975,61.15091,61.12812,61.12812,61.149197,69.93813,69.97926,61.138176,61.28801,61.27774,61.259846,61.17066
69.87553,69.982155,62.145042,62.21536,62.169147,62.169147,62.145832,69.96723,69.97329,62.156097,62.27502,62.267345,62.27472,62.130264
69.86986,69.97489,61.433933,61.44381,61.41078,61.41078,61.428253,69.94472,69.969604,61.419785,61.558647,61.547985,61.537716,61.434517
69.69403,69.749756,61.572205,61.593834,61.562454,61.562454,61.56114,69.75123,69.69718,61.693348,61.7751,61.831978,61.86008,61.83324
69.8812,69.98942,62.79031,62.91547,62.87925,62.87925,62.8169,69.97973,69.978455,62.82373,62.929886,62.942276,62.965332,62.783386
69.81881,69.90953,62.026524,62.08677,62.038155,62.038155,62.019592,69.903725,69.88639,62.074257,62.17834,62.186535,62.201996,62.090824
69.86986,69.97489,61.954098,62.008186,61.955425,61.955425,61.953148,69.9642,69.96643,61.958553,62.079365,62.0642,62.067223,61.934128
69.84717,69.94584,61.4471,61.4581,61.417675,61.417675,61.4349,69.923096,69.93426,61.449886,61.579735,61.571594,61.566162,61.4728
69.81314,69.90227,61.098133,61.079468,61.059177,61.059177,61.082756,69.86793,69.883675,61.114807,61.24788,61.260555,61.253105,61.196808
69.8812,69.98942,61.453686,61.465244,61.431465,61.431465,61.441544,69.95515,69.98623,61.434177,61.575687,61.560875,61.549282,61.440796
69.824486,69.916794,62.15821,62.22965,62.30703,62.30703,62.198986,69.835495,69.892624,62.22851,62.359196,62.469807,62.490307,62.382446
69.84717,69.94584,62.44792,62.543983,62.472492,62.472492,62.44482,69.955444,69.9278,62.48843,62.58505,62.57383,62.594265,62.44451
69.86986,69.97489,62.11212,62.17964,62.12778,62.12778,62.105965,69.96235,69.96441,62.126236,62.242935,62.23208,62.239807,62.0999
