T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.9,69.9,61.2,61.2,61.2,61.2,61.2,69.94754,69.908226,61.145363,61.27287,61.253326,61.238735,61.1502
69.8,69.8,61.7,61.7,61.7,61.7,61.7,69.88988,69.78158,61.71996,61.80883,61.82763,61.83933,61.751698
70.0,70.0,61.0,61.0,61.0,61.0,61.0,70.036545,70.03525,60.869278,61.025387,60.965584,60.929653,60.81398
70.0,70.0,61.6,61.6,61.6,61.6,61.6,70.09926,70.035995,61.46631,61.60234,61.538708,61.512676,61.344532
70.0,70.0,61.7,61.7,61.6,61.6,61.6,70.14473,70.030525,61.569294,61.678238,61.534214,61.511395,61.335228
70.0,70.0,62.1,62.1,62.1,62.1,62.1,70.15151,70.03661,61.963833,62.083138,62.01631,61.99853,61.786663
70.0,70.0,62.0,62.0,62.0,62.0,62.0,70.14106,70.03649,61.86433,61.98698,61.92079,61.90136,61.698235
69.8,69.8,62.1,62.1,62.2,62.2,62.2,69.89667,69.78767,62.114502,62.213734,62.309727,62.326466,62.20313
69.8,69.8,61.1,61.1,61.0,61.0,61.0,69.86219,69.77524,61.12641,61.21161,61.154488,61.15785,61.123413
69.8,69.8,61.5,61.5,61.4,61.4,61.4,69.90399,69.775734,61.52443,61.59625,61.53657,61.54653,61.477116
70.0,70.0,62.6,62.6,62.6,62.6,62.6,70.20377,70.03724,62.46136,62.563934,62.493916,62.484383,62.22879
70.0,70.0,62.0,62.0,62.0,62.0,62.0,70.14106,70.03649,61.86433,61.98698,61.92079,61.90136,61.698235
70.0,70.0,62.2,62.2,62.1,62.1,62.1,70.19698,70.03114,62.06682,62.159035,62.011818,61.997246,61.77736
69.9,69.9,61.1,61.1,61.1,61.1,61.1,69.93709,69.908104,61.045856,61.176712,61.157806,61.141563,61.061775
70.0,70.0,61.9,61.9,61.9,61.9,61.9,70.13061,70.03637,61.764824,61.89082,61.82527,61.804188,61.60981
69.9,69.9,61.5,61.5,61.4,61.4,61.5,70.053505,69.91369,61.416,61.511696,61.409153,61.39537,61.264187
69.8,69.8,61.4,61.4,61.3,61.3,61.3,69.89355,69.77561,61.424927,61.500088,61.44105,61.44936,61.38869
70.0,70.0,61.4,61.4,61.3,61.3,61.3,70.11337,70.03015,61.27078,61.38976,61.24765,61.219883,61.069954
69.8,69.8,60.5,60.5,60.5,60.5,60.5,69.764465,69.78009,60.525898,60.65492,60.68138,60.67328,60.690586
69.8,69.8,60.8,60.8,60.8,60.8,60.8,69.795815,69.78046,60.824413,60.943398,60.96794,60.96479,60.955864
70.0,70.0,62.4,62.4,62.3,62.3,62.3,70.21789,70.031395,62.26583,62.351353,62.202858,62.19159,61.95421
69.8,69.8,61.0,61.0,61.0,61.0,61.0,69.81672,69.78071,61.023426,61.135715,61.158985,61.159134,61.132717
69.9,69.9,61.3,61.3,61.3,61.3,61.3,69.957985,69.90835,61.244865,61.36903,61.348846,61.335907,61.238625
69.7,69.7,60.7,60.7,60.7,60.7,60.7,69.69232,69.647705,60.810516,60.89063,60.965454,60.983765,61.003765
70.0,70.0,62.6,62.6,62.5,62.5,62.6,70.27838,70.04232,62.433483,62.514286,62.36318,62.349506,62.077503
69.9,69.9,62.6,62.6,62.6,62.6,62.6,70.09386,69.909966,62.538433,62.6191,62.590614,62.599125,62.388157
69.9,69.9,61.6,61.6,61.6,61.6,61.6,69.98934,69.90872,61.54338,61.657505,61.635406,61.62742,61.503902
70.0,70.0,60.9,60.9,60.9,60.9,60.9,70.0261,70.035126,60.76977,60.929226,60.870064,60.83248,60.72555
70.0,70.0,61.2,61.2,61.3,61.3,61.2,69.98284,70.03041,61.096165,61.267357,61.28736,61.258873,61.142117
70.0,70.0,62.2,62.2,62.2,62.2,62.2,70.161964,70.036736,62.06334,62.1793,62.11183,62.095703,61.875088
70.0,70.0,62.0,62.0,62.0,62.0,62.0,70.14106,70.03649,61.86433,61.98698,61.92079,61.90136,61.698235
70.0,70.0,62.5,62.5,62.5,62.5,62.5,70.19332,70.03711,62.361855,62.467777,62.398396,62.387215,62.140366
70.0,70.0,62.1,62.1,62.1,62.1,62.1,70.15151,70.03661,61.963833,62.083138,62.01631,61.99853,61.786663
69.8,69.8,61.1,61.1,61.1,61.1,61.1,69.82717,69.78083,61.12293,61.231876,61.254505,61.256306,61.22114
69.7,69.7,61.3,61.3,61.2,61.2,61.3,69.812775,69.6589,61.371136,61.429707,61.41151,61.430508,61.406075
69.8,69.8,61.4,61.4,61.4,61.4,61.4,69.85853,69.781204,61.421444,61.52035,61.541065,61.547817,61.48642
70.0,70.0,60.9,60.9,60.9,60.9,60.9,70.0261,70.035126,60.76977,60.929226,60.870064,60.83248,60.72555
70.0,70.0,61.4,61.4,61.3,61.3,61.4,70.15297,70.04083,61.23942,61.360374,61.21693,61.18346,61.016396
69.9,69.9,62.1,62.1,62.1,62.1,62.1,70.041595,69.90935,62.04091,62.1383,62.11301,62.11327,61.94603
69.7,69.7,60.6,60.6,60.5,60.5,60.6,69.77986,69.63949,60.699852,60.732906,60.792934,60.813946,60.771446
69.9,69.9,62.6,62.6,62.5,62.5,62.6,70.168465,69.91505,62.510555,62.56945,62.459877,62.46425,62.23687
69.9,69.9,62.6,62.6,62.6,62.6,62.6,70.09386,69.909966,62.538433,62.6191,62.590614,62.599125,62.388157
69.8,69.8,60.7,60.7,60.6,60.6,60.7,69.85998,69.78542,60.697033,60.79759,60.741688,60.732746,60.716152
69.8,69.8,62.2,62.2,62.2,62.2,62.2,69.94214,69.782196,62.217487,62.289627,62.305233,62.32518,62.193825
69.9,69.9,62.0,62.0,62.0,62.0,62.0,70.03115,69.90922,61.941402,62.042145,62.01749,62.0161,61.857605
70.0,70.0,62.5,62.5,62.5,62.5,62.5,70.19332,70.03711,62.361855,62.467777,62.398396,62.387215,62.140366
69.8,69.8,61.6,61.6,61.6,61.6,61.6,69.879425,69.781456,61.620457,61.712673,61.73211,61.742157,61.66327
69.8,69.8,61.7,61.7,61.7,61.7,61.7,69.88988,69.78158,61.71996,61.80883,61.82763,61.83933,61.751698
70.0,70.0,62.6,62.6,62.5,62.5,62.5,70.238785,70.03164,62.46484,62.54367,62.393898,62.38593,62.13106
70.0,70.0,60.8,60.8,60.8,60.8,60.8,70.01565,70.035,60.67027,60.83307,60.774544,60.735313,60.637127
75.0,70.0,63.7,62.5,63.1,63.1,63.6,73.79762,70.20823,63.182755,61.271214,61.546406,61.469463,61.901474
69.8,69.8,61.3,61.3,61.2,61.2,61.2,69.883095,69.77548,61.32542,61.40393,61.34553,61.352192,61.300262
69.8,69.8,61.3,61.3,61.3,61.3,61.3,69.848076,69.78108,61.32194,61.424194,61.445545,61.450645,61.397995
70.0,70.0,62.7,62.7,62.7,62.7,62.7,70.21422,70.03736,62.560863,62.660095,62.589436,62.581554,62.317215
70.0,70.0,61.1,61.1,61.1,61.1,61.1,70.047,70.03538,60.968784,61.121544,61.061104,61.026825,60.902405
70.0,70.0,62.0,62.0,61.9,61.9,62.0,70.215675,70.04158,61.836452,61.93733,61.790054,61.766483,61.546947
70.0,70.0,61.2,61.2,61.2,61.2,61.2,70.05745,70.0355,61.068287,61.217705,61.156628,61.123997,60.99083
70.0,70.0,62.7,62.7,62.7,62.7,62.7,70.21422,70.03736,62.560863,62.660095,62.589436,62.581554,62.317215
70.0,70.0,60.7,60.7,60.7,60.7,60.7,70.005196,70.034874,60.570763,60.736908,60.679024,60.63814,60.548702
70.0,70.0,63.0,63.0,63.0,63.0,63.0,70.245575,70.037735,62.85938,62.948574,62.875996,62.873066,62.582493
69.9,69.9,61.4,61.4,61.3,61.3,61.4,70.04305,69.91356,61.316494,61.41554,61.313633,61.2982,61.175762
69.8,69.8,60.7,60.7,60.7,60.7,60.7,69.78537,69.780334,60.72491,60.847237,60.87242,60.867622,60.86744
70.0,70.0,62.4,62.4,62.4,62.4,62.4,70.18287,70.03699,62.26235,62.371616,62.30287,62.290043,62.051937
69.8,69.8,60.9,60.9,60.9,60.9,60.9,69.80627,69.78059,60.92392,61.039555,61.063465,61.061962,61.04429
70.0,70.0,62.5,62.5,62.5,62.5,62.5,70.19332,70.03711,62.361855,62.467777,62.398396,62.387215,62.140366
70.0,70.0,61.9,61.9,61.9,61.9,61.9,70.13061,70.03637,61.764824,61.89082,61.82527,61.804188,61.60981
69.8,69.8,61.2,61.2,61.2,61.2,61.2,69.83762,69.78095,61.222435,61.328033,61.350025,61.353474,61.309566
70.0,70.0,62.7,62.7,62.6,62.6,62.6,70.24924,70.03176,62.564346,62.63983,62.489418,62.4831,62.219486
69.8,69.8,61.4,61.4,61.3,61.3,61.4,69.933136,69.78629,61.393566,61.470703,61.41033,61.412937,61.335133
69.8,69.8,61.7,61.7,61.6,61.6,61.6,69.9249,69.77598,61.723442,61.788567,61.72761,61.74087,61.653965
69.8,69.8,60.7,60.7,60.7,60.7,60.7,69.78537,69.780334,60.72491,60.847237,60.87242,60.867622,60.86744
69.7,69.7,61.7,61.7,61.7,61.7,61.7,69.77997,69.654305,61.797035,61.863995,61.924328,61.954067,61.911064
69.9,69.9,60.7,60.7,60.7,60.7,60.7,69.89528,69.90761,60.647835,60.792072,60.775723,60.75288,60.70807
70.0,70.0,62.6,62.6,62.6,62.6,62.6,70.20377,70.03724,62.46136,62.563934,62.493916,62.484383,62.22879
70.0,70.0,61.9,61.9,61.8,61.8,61.8,70.16563,70.03077,61.768303,61.870556,61.725254,61.705734,61.51208
70.0,70.0,62.0,62.0,62.0,62.0,62.0,70.14106,70.03649,61.86433,61.98698,61.92079,61.90136,61.698235
70.0,70.0,61.9,61.9,61.9,61.9,61.9,70.13061,70.03637,61.764824,61.89082,61.82527,61.804188,61.60981
70.0,70.0,61.6,61.6,61.6,61.6,61.6,70.09926,70.035995,61.46631,61.60234,61.538708,61.512676,61.344532
70.0,70.0,62.3,62.3,62.5,62.5,62.4,70.06278,70.03738,62.187244,62.34537,62.438103,62.426205,62.212532
70.0,70.0,63.1,63.1,63.1,63.1,63.1,70.25603,70.03786,62.958885,63.04473,62.97152,62.970238,62.670918
69.8,69.8,60.8,60.8,60.8,60.8,60.8,69.795815,69.78046,60.824413,60.943398,60.96794,60.96479,60.955864
70.0,70.0,62.7,62.7,62.7,62.7,62.7,70.21422,70.03736,62.560863,62.660095,62.589436,62.581554,62.317215
69.8,69.8,61.3,61.3,61.3,61.3,61.3,69.848076,69.78108,61.32194,61.424194,61.445545,61.450645,61.397995
70.0,70.0,62.5,62.5,62.4,62.4,62.5,70.26793,70.0422,62.333977,62.418125,62.26766,62.25234,61.98908
70.0,70.0,63.1,63.1,63.1,63.1,63.1,70.25603,70.03786,62.958885,63.04473,62.97152,62.970238,62.670918
70.0,70.0,62.2,62.2,62.1,62.1,62.2,70.23657,70.041824,62.03546,62.129646,61.9811,61.960823,61.7238
70.0,70.0,62.5,62.5,62.5,62.5,62.5,70.19332,70.03711,62.361855,62.467777,62.398396,62.387215,62.140366
69.8,69.8,61.5,61.5,61.5,61.5,61.5,69.86897,69.78133,61.52095,61.616512,61.636585,61.644985,61.574844
70.0,70.0,61.6,61.6,61.6,61.6,61.6,70.09926,70.035995,61.46631,61.60234,61.538708,61.512676,61.344532
70.0,70.0,61.0,61.0,61.1,61.1,61.0,69.96194,70.03017,60.897156,61.075035,61.09632,61.06453,60.965267
69.8,69.8,61.0,61.0,60.9,60.9,60.9,69.85174,69.77511,61.026905,61.11545,61.058968,61.060677,61.034985
70.0,70.0,62.5,62.5,62.5,62.5,62.5,70.19332,70.03711,62.361855,62.467777,62.398396,62.387215,62.140366
70.0,70.0,61.1,61.1,61.2,61.2,61.1,69.97239,70.03029,60.996662,61.171196,61.19184,61.1617,61.05369
70.0,70.0,62.6,62.6,62.6,62.6,62.6,70.20377,70.03724,62.46136,62.563934,62.493916,62.484383,62.22879
69.8,69.8,60.5,60.5,60.5,60.5,60.5,69.764465,69.78009,60.525898,60.65492,60.68138,60.67328,60.690586
70.0,70.0,62.3,62.3,62.3,62.3,62.3,70.17242,70.036865,62.162846,62.275455,62.20735,62.19287,61.963512
70.0,70.0,62.6,62.6,62.5,62.5,62.6,70.27838,70.04232,62.433483,62.514286,62.36318,62.349506,62.077503
70.0,70.0,60.7,60.7,60.8,60.8,60.7,69.93058,70.02979,60.59864,60.78656,60.809757,60.773018,60.69999
69.8,69.8,60.7,60.7,60.6,60.6,60.7,69.85998,69.78542,60.697033,60.79759,60.741688,60.732746,60.716152
70.0,70.0,62.1,62.1,62.1,62.1,62.1,70.15151,70.03661,61.963833,62.083138,62.01631,61.99853,61.786663
70.0,70.0,62.7,62.7,62.7,62.7,62.7,70.21422,70.03736,62.560863,62.660095,62.589436,62.581554,62.317215
70.0,70.0,60.9,60.9,60.9,60.9,60.9,70.0261,70.035126,60.76977,60.929226,60.870064,60.83248,60.72555
69.9,69.9,60.7,60.7,60.7,60.7,60.7,69.89528,69.90761,60.647835,60.792072,60.775723,60.75288,60.70807
75.0,69.8,63.2,62.0,62.7,62.7,63.1,73.722595,70.03209,62.801323,60.660027,61.02017,60.958576,61.79006
70.0,70.0,63.0,63.0,63.0,63.0,63.0,70.245575,70.037735,62.85938,62.948574,62.875996,62.873066,62.582493
