T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
75.895996,69.92758,63.635303,62.479538,62.975834,62.975834,63.50616,74.593285,70.2832,64.00648,61.65635,60.85164,60.80462,61.175503
70.019714,69.95702,62.422474,62.376896,62.375298,62.375298,62.41017,70.25927,70.006935,62.232227,62.32153,62.21531,62.19707,61.934338
69.88404,69.8628,62.102608,62.068977,62.061974,62.061974,62.091335,70.06526,69.87211,62.032005,62.114838,62.075016,62.075195,61.902225
70.019714,69.95702,60.903107,60.91428,60.88701,60.88701,60.89571,70.055504,70.000046,60.747837,60.887047,60.788746,60.751537,60.64183
75.895996,69.87458,63.548676,62.376896,62.897503,62.897503,63.419807,74.58933,70.23565,63.942104,61.531956,60.748745,60.705215,61.16741
70.02819,69.96291,63.0089,62.941418,62.956253,62.956253,62.994698,70.34249,70.0176,62.799953,62.872475,62.764442,62.752396,62.428074
69.841644,69.83336,61.702774,61.68408,61.67032,61.67032,61.692795,69.964424,69.82861,61.676464,61.767124,61.749615,61.751804,61.637093
70.002754,69.945244,62.6024,62.550102,62.545013,62.545013,62.589516,70.26939,69.99142,62.420227,62.500076,62.395714,62.38225,62.10752
70.02819,69.96291,62.902275,62.838776,62.838757,62.838757,62.88178,70.335304,70.017075,62.69423,62.76728,62.649307,62.635765,62.32118
70.04515,69.97469,62.44913,62.402557,62.40141,62.40141,62.43674,70.291176,70.03207,62.237217,62.328827,62.21033,62.18822,61.912014
69.680534,69.72147,61.26962,61.267105,61.246025,61.246025,61.26104,69.72689,69.66827,61.38662,61.47134,61.53296,61.55636,61.55361
69.99428,69.939354,62.042633,62.011242,62.022808,62.022808,62.038197,70.168015,69.97992,61.88556,61.98855,61.912235,61.89389,61.682278
69.90948,69.88047,62.48245,62.43463,62.545013,62.545013,62.509804,70.07752,69.89745,62.40049,62.498974,62.53448,62.537525,62.326893
75.895996,69.92758,63.62864,62.47312,62.969307,62.969307,63.49952,74.59251,70.28292,64.00175,61.64996,60.846397,60.79947,61.173782
69.807724,69.80981,61.956,61.92785,61.918365,61.918365,61.945206,69.9606,69.79642,61.951935,62.03003,62.02738,62.038338,61.91251
