T2,T3,T4,T5,T6,T7,T8,T2_pred,T3_pred,T4_pred,T5_pred,T6_pred,T7_pred,T8_pred
69.89454,69.83299,61.340397,61.434338,63.097054,63.097054,63.139576,69.74317,69.87471,61.50609,61.66898,63.09935,63.073177,63.21042
69.93193,69.96985,62.030212,62.146122,62.05265,62.05265,61.983887,69.98404,69.97168,62.01622,62.12266,62.056053,62.06149,61.92745
69.93193,69.96985,62.720024,62.85791,62.80894,62.80894,62.68735,70.00275,69.969086,62.724747,62.81983,62.792118,62.812885,62.63324
69.93193,69.96985,60.781975,60.858128,60.684124,60.684124,60.710957,69.95018,69.97638,60.734127,60.861115,60.72413,60.701824,60.650295
69.93193,69.96985,62.37512,62.502014,63.133064,63.133064,62.972084,69.72141,70.002655,62.366676,62.632896,63.14668,63.152576,63.001915
69.91323,69.90142,62.11233,62.230858,62.556843,62.556843,62.419365,69.79835,69.91694,62.110886,62.293697,62.560562,62.57077,62.45093
69.9257,69.94704,62.37512,62.502014,62.484818,62.484818,62.385868,69.96693,69.949356,62.371506,62.478558,62.473766,62.48819,62.335583
69.9257,69.94704,62.293,62.41728,62.35877,62.35877,62.268623,69.97831,69.94792,62.28762,62.387524,62.34935,62.362366,62.215015
69.9257,69.94704,62.06306,62.180016,62.10667,62.10667,62.034134,69.97207,69.948784,62.051445,62.155136,62.103992,62.1119,61.97975
69.93193,69.96985,62.440815,62.569805,62.502823,62.502823,62.402615,69.99518,69.97013,62.43796,62.537643,62.494186,62.508747,62.34756
69.93193,69.96985,61.159733,61.247917,61.09828,61.09828,61.096188,69.96043,69.97496,61.122128,61.242897,61.12721,61.1133,61.0368
69.93193,69.96985,60.91337,60.993706,60.82818,60.82818,60.844948,69.95374,69.97588,60.869083,60.993908,60.86433,60.844948,60.78473
69.9257,69.94704,60.617733,60.688656,60.52206,60.52206,60.560215,69.93286,69.95422,60.566917,60.694397,60.561764,60.53755,60.500942
69.919464,69.92423,61.11046,61.197075,61.06227,61.06227,61.062687,69.94017,69.92873,61.074726,61.18763,61.082016,61.070705,61.005505
69.919464,69.92423,62.227303,62.34949,62.30475,62.30475,62.218376,69.96366,69.92539,62.22163,62.320404,62.292137,62.305435,62.166492
69.9257,69.94704,60.60131,60.671707,60.48605,60.48605,60.52672,69.939224,69.953415,60.550278,60.67378,60.52584,60.501472,60.465866
69.93193,69.96985,61.931667,62.044437,61.94461,61.94461,61.883392,69.98136,69.97205,61.915,62.023064,61.9509,61.954147,61.82662
69.919464,69.92423,62.522934,62.65454,62.628872,62.628872,62.51986,69.97168,69.92428,62.525284,62.61919,62.607594,62.62746,62.468975
69.93193,69.96985,61.94809,62.061386,61.962616,61.962616,61.900143,69.98181,69.97199,61.931873,62.039665,61.968426,61.97204,61.843422
